Date,Symbol,Open,High,Low,Close,Volume,extra,Moving Avg 30,Moving Avg 90
2015-02-20,ABC,3.83,3.86,3.73,3.8,2252552,,3.72733333333,3.535
2015-02-23,ABC,3.81,3.86,3.77,3.85,1002925,,3.73333333333,3.54233333333
2015-02-24,ABC,3.84,3.895,3.83,3.84,811566,,3.73933333333,3.54933333333
2015-02-25,ABC,3.85,3.905,3.84,3.89,1083040,,3.74533333333,3.55644444444
2015-02-26,ABC,4.05,4.26,4.04,4.18,4371403,,3.76333333333,3.56711111111
2015-02-27,ABC,4.25,4.33,4.19,4.28,2929004,,3.78566666667,3.57844444444
2015-03-02,ABC,4.28,4.31,4.21,4.22,6062555,,3.80733333333,3.58888888889
2015-03-03,ABC,4.28,4.345,4.24,4.29,2012783,,3.831,3.59922222222
2015-03-04,ABC,4.31,4.35,4.29,4.3,2007227,,3.85466666667,3.60988888889
2015-03-05,ABC,4.3,4.45,4.28,4.45,2502069,,3.88066666667,3.622
2015-03-06,ABC,4.43,4.52,4.42,4.5,2640651,,3.913,3.635
2015-03-09,ABC,4.45,4.47,4.41,4.43,1689709,,3.942,3.64744444444
2015-03-10,ABC,4.44,4.51,4.44,4.5,1814850,,3.972,3.66055555556
2015-03-11,ABC,4.45,4.53,4.4,4.52,1491471,,4.003,3.674
2015-03-12,ABC,4.51,4.56,4.46,4.54,1867532,,4.03366666667,3.68711111111
2015-03-13,ABC,4.42,4.44,4.37,4.41,3491414,,4.06133333333,3.69955555556
2015-03-16,ABC,4.35,4.39,4.29,4.37,2148494,,4.08533333333,3.71111111111
2015-03-17,ABC,4.38,4.41,4.34,4.36,3363222,,4.106,3.72288888889
2015-03-18,ABC,4.34,4.35,4.28,4.35,1825189,,4.12366666667,3.73444444444
2015-03-19,ABC,4.36,4.46,4.36,4.43,1686533,,4.143,3.74588888889
2015-03-20,ABC,4.42,4.49,4.4,4.45,2249414,,4.16233333333,3.757
2015-03-23,ABC,4.49,4.51,4.43,4.49,2054017,,4.18233333333,3.76822222222
